326535.40691568167,4128031.779948963
326535.7120680463,4128031.7601283337
326536.02331707877,4128031.7420316027
326536.33240852365,4128031.7339698463
326536.6850802192,4128031.710205741
326536.9935944189,4128031.6956807543
326537.3222836343,4128031.67740815
326537.67530742195,4128031.67065733
326538.0443084012,4128031.643040238
326538.34440909897,4128031.636274654
326538.73227731965,4128031.620292511
326539.03543368634,4128031.6040284205
326539.3352182302,4128031.58912916
326539.7011152841,4128031.5758218206
326540.0574717721,4128031.5801024763
326540.3932054839,4128031.56649436
326540.7058877423,4128031.5533632985
326541.0130444127,4128031.5518169557
326541.3163853298,4128031.530183963
326541.61836254364,4128031.5283748163
326541.97872018476,4128031.5331277694
326542.32913393766,4128031.5288362345
326542.69183903653,4128031.525585391
326542.9964622094,4128031.5301967394
326543.3818681632,4128031.5166708403
326543.69700566155,4128031.5221746624
326544.02699330205,4128031.5166408513
326544.37026072224,4128031.509907208
326544.7349135566,4128031.507911186
326545.10630918096,4128031.517431008
326545.47777688934,4128031.5090037948
326545.78932294523,4128031.498116505
326546.1338772959,4128031.5035666823
326546.44443022355,4128031.5089804744
326546.80572271196,4128031.5089041395
326547.20227528457,4128031.51253829
326547.5627156186,4128031.514144674
326547.8691511019,4128031.50632331
326548.215324698,4128031.5185852773
326548.55280159286,4128031.5249220356
326548.9440331139,4128031.5214511566
326549.2881747729,4128031.528390048
326549.6673062892,4128031.533124845
326550.0473818019,4128031.540615209
326550.4327439137,4128031.553546362
326550.81517071486,4128031.553217863
326551.12506133446,4128031.5623456477
